date,hour,total precipitation (mm),atmospheric pressure at station level (mb),max atmospheric pressure in the previous hour (mb),min atmospheric pressure in the previous hour (mb),air temperature - dry bulb (°c),dew point temperature (°c),max temperature in the previous hour (°c),min temperature in the previous hour (°c),max dew temperature in the previous hour (°c),min dew temperature in the previous hour (°c),max relative humidity in the previous hour (%),min relative humidity in the previous hour (%),air relative humidity (%),wind direction (° (gr)),wind gust (m/s),wind speed (m/s),region,state,station,station_code,latitude,longitude,height,precip,precip_last_hour
2015-01-01,20:00,5.6,916.0,916.0,915.1,21.0,19.0,30.8,21.0,20.7,17.7,89.0,47.0,89.0,6.0,12.0,6.7,CO,MT,ALTO TAQUARI,A934,-17.81555555,-53.28749999,875.0,1,0.0
2015-01-01,21:00,2.2,915.0,916.1,915.0,22.8,20.1,23.2,20.8,21.1,19.1,92.0,84.0,85.0,336.0,12.0,3.2,CO,MT,ALTO TAQUARI,A934,-17.81555555,-53.28749999,875.0,1,1.0
2015-01-03,17:00,29.0,918.1,919.0,918.1,21.3,20.5,29.9,19.6,21.8,16.3,96.0,56.0,95.0,203.0,15.4,2.7,CO,MT,ALTO TAQUARI,A934,-17.81555555,-53.28749999,875.0,1,0.0
2015-01-03,18:00,1.6,916.6,918.1,916.5,28.3,20.3,28.3,21.3,22.9,19.6,95.0,59.0,62.0,253.0,12.0,2.4,CO,MT,ALTO TAQUARI,A934,-17.81555555,-53.28749999,875.0,1,1.0
2015-01-03,23:00,0.8,918.4,918.4,917.2,21.1,18.4,22.0,21.0,18.6,17.4,85.0,75.0,85.0,152.0,8.7,3.5,CO,MT,ALTO TAQUARI,A934,-17.81555555,-53.28749999,875.0,1,0.0
2015-01-04,00:00,1.8,918.6,918.6,918.4,21.4,18.7,22.0,20.6,19.3,18.3,89.0,82.0,85.0,149.0,7.4,4.2,CO,MT,ALTO TAQUARI,A934,-17.81555555,-53.28749999,875.0,1,1.0
2015-01-04,01:00,0.2,920.0,920.0,918.6,21.0,18.3,21.6,20.1,18.8,18.3,90.0,83.0,85.0,207.0,7.4,2.2,CO,MT,ALTO TAQUARI,A934,-17.81555555,-53.28749999,875.0,1,1.0
2015-01-05,09:00,0.2,917.5,917.7,917.5,19.7,19.1,19.9,19.7,19.1,19.0,96.0,95.0,96.0,46.0,5.3,0.9,CO,MT,ALTO TAQUARI,A934,-17.81555555,-53.28749999,875.0,1,0.0
2015-01-05,19:00,0.6,917.3,917.5,916.8,20.7,18.8,24.9,20.7,19.4,18.6,89.0,69.0,89.0,256.0,8.1,4.5,CO,MT,ALTO TAQUARI,A934,-17.81555555,-53.28749999,875.0,1,0.0
2015-01-05,21:00,0.2,917.1,917.4,916.9,20.6,19.6,21.1,20.6,19.7,19.1,94.0,90.0,94.0,45.0,5.2,2.1,CO,MT,ALTO TAQUARI,A934,-17.81555555,-53.28749999,875.0,1,0.0
